hangul,kanji,font0_slot_index,font0_page,font0_u0,font0_v0,font1_slot_index,font1_page,font1_u0,font1_v0,code_hex_font0,code_hex_font1
려,闇,40,0,0.769419,0.373718,15,3,0.161212,0.161212,0x00E99787,0x00E99787
력,威,51,0,0.021983,0.395701,22,3,0.725452,0.161212,0x00E5A881,0x00E5A881
련,看,416,0,0.1319,0.571568,214,4,0.725452,0.483635,0x00E79C8B,0x00E79C8B
렬,採,987,0,0.813385,0.835369,554,6,0.080606,0.886663,0x00E68EA1,0x00E68EA1
렴,媒,2225,1,0.329751,0.461651,1268,11,0.56424,0.806058,0x00E5AA92,0x00E5AA92
렵,控,868,0,0.175867,0.791402,484,6,0.241817,0.403029,0x00E68EA7,0x00E68EA7
렷,梅,2226,1,0.351734,0.461651,1269,11,0.644846,0.806058,0x00E6A285,0x00E6A285
렸,室,1157,0,0.593552,0.923302,653,7,0.322423,0.56424,0x00E5AEA4,0x00E5AEA4
령,胡,806,0,0.791402,0.747435,452,6,0.56424,0.161212,0x00E883A1,0x00E883A1
례,詳,1377,1,0.483635,0.043967,778,8,0.725452,0.403029,0x00E8A9B3,0x00E8A9B3
롄,狽,2229,1,0.417684,0.461651,1270,11,0.725452,0.806058,0x00E78BBD,0x00E78BBD
롑,買,2230,1,0.439668,0.461651,1271,11,0.806058,0.806058,0x00E8B2B7,0x00E8B2B7
롓,売,2231,1,0.461651,0.461651,1272,11,0.886663,0.806058,0x00E5A3B2,0x00E5A3B2
로,偉,47,0,0.923302,0.373718,19,3,0.483635,0.161212,0x00E58189,0x00E58189
록,祈,478,0,0.505618,0.593552,251,4,0.806058,0.725452,0x00E7A588,0x00E7A588
론,条,1399,1,0.967269,0.043967,792,8,0.886663,0.483635,0x00E69DA1,0x00E69DA1
롤,屍,1086,0,0.021983,0.901319,610,7,0.725452,0.241817,0x00E5B18D,0x00E5B18D
롬,這,2234,1,0.527601,0.461651,1273,11,0,0.886663,0x00E98099,0x00E98099
롭,桜,1030,0,0.769419,0.857352,578,7,0.080606,0.080606,0x00E6A19C,0x00E6A19C
롯,撃,725,0,0,0.725452,398,5,0.080606,0.806058,0x00E69283,0x00E69283
롱,博,2241,1,0.681485,0.461651,1274,11,0.080606,0.886663,0x00E58D9A,0x00E58D9A
